"phase","task_id","task","status","owner","start_date","finish_date","dependency","deliverable","notes"
"P0","P0-01","Create research-v7-publication branch","COMPLETE","","2026-09-08","2026-09-08","pinned commit","new branch","research-v7-publication created from frozen commit 5a511729bc21c1b0998b7e6f4a84108fb4e309bf"
"P0","P0-02","Create research/ directory structure","COMPLETE","","2026-09-08","2026-09-08","P0-01","research tree","research directory structure created and verified locally"
"P0","P0-03","Import historical B0-C2 registry/results/hashes","COMPLETE","","2026-09-08","2026-09-08","P0-02","history records","B0-C2 registry/results imported; unresolved historical artifact gaps explicitly documented"
"P0","P0-04","Import literature library and V6/V7 framework","COMPLETE","","2026-09-08","2026-09-08","P0-02","literature docs","literature library plus V7/V8 governance and publication framework imported"
"P0","P0-05","Add research-specific CI/tests","COMPLETE","","2026-09-08","2026-09-08","P0-02","research-integrity.yml + research-model-smoke.yml + local tests","8/8 research integrity tests and 4/4 model smoke tests passed locally."
"P1","D00-A","Transfer coverage audit","NOT_STARTED","","","","P0 complete","transfer_coverage.csv",""
"P1","D00-B","Axis annotation inventory/parser","NOT_STARTED","","","","P0 complete","axis_inventory.csv",""
"P1","D00-C","Projection mapping/performance audit","NOT_STARTED","","","","D00-B","projection_performance.csv",""
"P1","D00-D","Paired-study feasibility audit","NOT_STARTED","","","","D00-C","paired_study_inventory.csv",""
"P1","D00-E","Localization/geometry audit","NOT_STARTED","","","","P0 complete","geometry analysis",""
"P1","D00-F","Rare-patient sensitivity audit","NOT_STARTED","","","","P0 complete","patient sensitivity",""
"P1","D00-G","Write diagnostic conclusions","NOT_STARTED","","","","D00-A:F","DIAGNOSTIC_CONCLUSIONS.md",""
"P2","M01","TP-CDA implementation + screening","NOT_STARTED","","","","D00","M01 result",""
"P3","M02","PELT implementation + screening","NOT_STARTED","","","","D00","M02 result",""
"P4","M03","APCF implementation + screening","NOT_STARTED","","","","D00","M03 result",""
"P5","M10+","Combine passing mechanisms","NOT_STARTED","","","","M01:M03","candidate",""
"P6","R01","Second-seed confirmation","NOT_STARTED","","","","P5","confirmed candidate",""
"P7","PV01","Optional paired-view branch","NOT_STARTED","","","","D00+P6","optional",""
"P8","LOCK","Method lock/tag","NOT_STARTED","","","","P6/P7","release candidate",""
"P9","CV","3-fold baseline vs proposed","NOT_STARTED","","","","LOCK","CV evidence",""
"P10","TEST","Final sealed Split-B test","NOT_STARTED","","","","CV","final test",""
"P11","EXT","External/comparability/efficiency","NOT_STARTED","","","","LOCK","external evidence",""
"P12","PAPER","Manuscript and submission package","NOT_STARTED","","","","P10/P11","submission",""
"P0","P0-06","Create first publication-research commit","COMPLETE","","2026-09-08","2026-09-08","P0-05","Commit 57dee3efdaf234f5ac6eaf0950c3f3e8824b56af","57 files; Phase-0 governance, provenance, trackers, CI and research workspace."
"P0","P0-07","Publish research branch and verify GitHub CI","COMPLETE","","2026-09-08","2026-09-08","P0-06","origin/research-v7-publication + successful research CI","Remote SHA matches local. Research Integrity and Research Model Smoke both passed. Origin switched from HTTPS to SSH over port 443 after HTTPS transport failures."
"P0","P0-08","Harden publication UTF-8 integrity and verify remote closure","COMPLETE","","2026-09-10","2026-09-10","P0-07","Commit 67e3237d1cf1d918635e78680e6760d4da82720e + Research Integrity run 34456349763","Legacy Windows-1252 0x97 repaired in three historical Markdown files; 47 governed text files strict-UTF-8 valid; research integrity 9/9 PASS; local and origin SHAs matched; GitHub Research Integrity completed successfully on the exact implementation commit; no scientific or dataset change; Split-B test remained sealed."
